draft,type,num,date,day,slides,readings,assignments,need quiz,,only lecture,notes
y,exam,11,03-Mar ,Tue,Midterm #1,,,,,,
,lecture,12,05-Mar ,Thu,"Strings

* [Strings](slides/06/strings.html)
* [Strings as List of Characters](slides/06/strings_as_list.html)
* [Strings as Objects](slides/06/strings_as_objects.html)
* [Strings: Functions](slides/06/strings_built_in_functions.html)","* [Module #5: Functions, Scope, Modules](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module05.php)
* [Ch 7. Strings](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch07.html#string_fundamentals)
",,,,,
,workshop,13,10-Mar ,Tue,Strings,Workshop,"Homework 5 __Due Monday, 3/23, at 11pm__

1. [encode_decode.py](assignments/hw05/encode_decode.py)
2. [base_sixteen.py](assignments/hw05/base_sixteen.py)
3. [variable_names.py](assignments/hw05/variable_names.py)
4. [pig_latin.py](assignments/hw05/pig_latin.py)",,,,
,lecture,14,12-Mar ,Thu,"Lists, Tuples and Sets

* [List Basics](slides/04/lists.html)
* [List Methods](slides/04/list-methods.html)
* [List Methods and Mutability](slides/05/lists-methods-constructor-comprehension.html)
* [Tuples](slides/08/tuples.html)
* [List Mutability Some More, Comprehensions](slides/05/lists-references-map.html)
* Sets","* [Module #6: Lists, Tuples, and Sets](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module06.php)
* [Ch 18. Arguments](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch18.html#arguments)
  * Argument-Passing Basics
* [Ch 8. Lists and Dictionaries](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch08.html#lists_and_dictionaries)
  * Lists
  * Lists in Action
* [Ch 9. Tuples, Files, and Everything Else](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch09.html#tuples_comma_files_comma_and_everything)
  * Tuples","__Due Thursday, March 26th, at 9:30am__

* [Module 06 on Lists, Sets, and Tuples](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module06.php)
* Quiz 06 in NYU Classes (under Tests and Quizzes)",,,,
y,holiday,,17-Mar ,Tue,No Class Scheduled (Spring Break),,,,,,
y,holiday,,19-Mar ,Thu,No Class Scheduled (Spring Break),,,,,,
,workshop,15,24-Mar ,Tue,"Lists, Tuples and Sets","Exam Results

* extra credit assignment / exam weights may be shifted
* discuss True/False and last 2 coding


Workshop

* quick review of lists
* attempt workshop via zoom

","Homework 6 __Due Monday, 3/30, at 11pm__


[All instructions are in this link!](assignments/hw06/list-utilities.html)

Complete 2 out of last 3 or all last 3 for extra credit towards homework.

1. [listutils.py](assignments/hw06/listutils.py)
2. [syllabic_poetry.py](assignments/hw06/syllabic_poetry.py)
3. [mydate.py](assignments/hw06/mydate.py) and  [birthday.py](assignments/hw06/birthday.py)
4. [drawing.py](assignments/hw06/drawing.py)



",,,,
,lecture,16,26-Mar ,Thu,"Lists, Tuples and Sets Continued","* Review list methods and list comprehensions
* See previous slides on Tuples and List Mutability
* discuss sets",,,,,
,workshop,17,31-Mar ,Tue,"Lists, Tuples and Sets Continued

Midterm #2 Practice

* [Midterm #2 Practice Questions](resources/handouts/midterm_2/midterm_2_practice.pdf)
* [Midterm #2 Practice Questions - Solutions](resources/handouts/midterm_2/midterm_2_practice_solutions.pdf)
* [Midterm #2 List Questions](resources/handouts/midterm_2/midterm_2_list_practice.pdf)
* [Midterm #2 List Questions - Solutions](resources/handouts/midterm_2/midterm_2_list_practice_solutions.pdf)
* [Midterm #2 Shared Practice Questions and Solutions](resources/handouts/midterm_2/m02sampleproblems.html)
",Workshop,"Homework 7 __Due Monday, 4/13, at 11pm__ 

1. [practice.py](assignments/hw07/practice.py)
2. [animal_functions.py](assignments/hw07/animal_functions.py)
3. [pawsome_pet_vet.py](assignments/hw07/pawsome_pet_vet.py)
4. [upc.py](assignments/hw07/upc.py)
5. [extra_credit towards homework: draw_barcode.py](assignments/hw07/draw_barcode.py)",,,,
y,lecture,18,02-Apr ,Thu,Review,,,,,,
y,exam,19,07-Apr ,Tue,Midterm #2,,,,,,
,lecture,20,09-Apr ,Thu,"
Exceptions, File I/O and Data Formats

* [Exceptions](slides/exceptions-file-io/exceptions.html)
* [Paths](slides/exceptions-file-io/paths.html)
* [File IO](slides/exceptions-file-io/files.html)
* [File IO Review](slides/exceptions-file-io/files-review.html)","* [Module #8: Exceptions, File I/O](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module08.php)
* [Ch 9. Tuples, Files, and Everything Else](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch09.html#tuples_comma_files_comma_and_everything)
  * Files
* [Ch 32. Exception Basics](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch33.html#exception_basics)
  * Why Use Exceptions?
* [Ch 33. Exception Coding Details](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch34.html#exception_coding_details)
  * The try/except/else Statement
  * The try/finally Statement
  * Unified try/except/finally
  * The raise Statement
","__Due Tuesday, April 14th, at 11:00am__

* [Module 08 on Exceptions and File IO](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module08.php)
* Quiz 07 in NYU Classes (under Tests and Quizzes)
* __Note the module and quiz number are different__",,,,
,workshop,21,14-Apr ,Tue,"

Exceptions, File I/O and Data Formats",Workshop,"Homework 8 __Due Monday, 4/20, at 11pm__

1. [nba.py](assignments/hw08/nba.py)
  *  [stats-clean.txt](assignments/hw08/stats-clean.txt)
2. [wordsy.py](assignments/hw08/wordsy.py)
  *  [enable1.txt](assignments/hw08/enable1.txt)
3. [battleship.py](assignments/hw08/battleship.py)",,,,
,lecture,22,16-Apr ,Thu,"Dictionaries and Counters

* [Dictionaries](slides/06/dictionaries.html)
* [Counting with Various Data Types](slides/collections/counter.html)","* [Module #7: Dictionaries](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module07.php)
* [Ch 8. Lists and Dictionaries](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch08.html#lists_and_dictionaries)
  * Dictionaries
  * Dictionaries in Action
","__Due Tuesday, Arpril 21st, at 11:00am__

* [Module 07 on Dictionaries](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module07.php)
* Quiz 08 in NYU Classes (under Tests and Quizzes)
* __Note the module and quiz number are different__",,,,
y,workshop,23,21-Apr ,Tue,Dictionaries and Counters,Workshop,"Homework 9  __Due Tuesday, 11/26, at 11pm__

1. [Instructions for HW09](assignments/hw09/lousy_plasma.html)
  * [lousy_plasma.py](assignments/hw09/lousy_plasma.py) 
  * [lousy_plasma.txt](assignments/hw09/lousy_plasma.txt) 
2. [many_things.py](assignments/hw09/many_things.py)

__Due Monday, Dec 2nd, at 9:30am__

* [Module 09 on Classes and Objects](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module09.php)
* Quiz 09 in NYU Classes (under Tests and Quizzes)
",,,,
y,lecture,24,23-Apr ,Thu,"Classes and Objects

* [Object Oriented Programming](slides/oop/oop.html)
","* [Module #9: Classes and Objects](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module09.php)
* [Ch 26. OOP: The Big Picture](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch26.html#oop_colon_the_big_picture)
* [Ch 28. A More Realistic Example](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch28.html#a_more_realistic_example)
  * Step 1: Making Instances
  * Step 2: Adding Behavior Methods
* [Ch 29. Class Coding Details](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch29.html#class_coding_details)
  * The class Statement
  * Methods",,,,,
y,lecture,25,28-Apr ,Tue,"More Classes and Objects, Recursion and Higher Order Functions

* Sub-classing (previous, class) 
* Other Magic Methods
  * iter
  * getitem
* Higher Order Functions / [Decorators](slides/functional/decorators.html)
  * functions as objects 
  * lambda
  * ex: sorted
* Animation","* [Ch 28. A More Realistic Example](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch28.html#a_more_realistic_example)
  * Step 3: Operator Overloading  
  * Step 4: Customizing Behavior by Subclassing
* [Ch 29. Class Coding Details](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch29.html#class_coding_details)
  * Inheritance
* [Ch 19. Advanced Function Topics](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch19.html#advanced_function_topics)
  * Recursion
  * Function Objects: Attributes and Annotations – Indirect Function Calls",,,,,
y,workshop,26,30-Apr ,Thu,"More Classes and Objects, Recursion and Higher Order Functions ",,"Homework 10, Midterm Extra Credit  __Due Sunday, 12/8, at 11pm__

[Instructions for HW10, Midterm Extra Credit](assignments/hw10/calculator.html)

* [stack.py](assignments/hw10/stack.py) 
* [test_stack.py](assignments/hw10/test_stack.py) 
* [calculator.py](assignments/hw10/calculator.py) 
* [test_calculator.py](assignments/hw10/test_calculator.py) ",,,,
y,lecture,27,05-May ,Tue,"Libraries

* [Image Processing](slides/13/images.html)
* (Pillow/PIL)
",,,,,,
y,lecture,28,07-May ,Thu,Review,,,,,,
,exam,,14-May,Thu,Final Exam: 10:00AM - 11:50AM,,,,,,
